Comment,label
現在國產品牌首選華碩了,0
看標題 我以為 >>> 是遠大於的意思 原來是誤會,2
標題還以為是完美10大約zenfone7的意思,2
標題殺人啊XDDD 但Z7真的不錯！,2
被標題誤導+1,2
Z7真的是重，很多穩定器上不了,1
裝了犀牛盾不會更難握嗎？,2
標題殺人啊，完美10當時我也上當，電池糞到不行,1
htc10現在是熱阿頓阿,1
10用了快五年也對得起當初的護板神機了,0
s7八月底還在更新,0
完美10不知道放生到哪去了,1
10上次更新是2018了 哭阿,1
→,2
標題下的真爛,2
有耐心的朋友撐那麼久才換機那個體驗一定是讚的,2
間隔三代本來就會很有感啊,2
碩黑看標題大喜 進來一看大怒,2
→→→,2
誤會是想戰完美10>zf7+1 XD,2
.....害我內文看好幾次  標題害人不淺,2
你這樣害酸酸該如何是好,2
我也是10換ZF7  超有感,2
以為10屌打ZF7,2
這什麼標題,2
10我覺得很好用 不過我換了5z後就覺得屌打10了 XD,2
7的話還在觀望 可能考慮pro....,2
你這標題嚇死我了 我的10已經頓到不行,1
我也是11月的10，原本想等Z7，但S20+真的太香了,2
正確無誤,2
你是不是不會用箭頭？→,2
標題騙人,2
標題....,2
看標題想說完美10那麼厲害,2
降級,2
10爛到有剩，比iphone6s還爛，明明完蘋果一年出的,1
UU換Zenfong 7 Pro 爽度有感！,2
一堆踢西粉，可歌可泣,2
10我這三年裸機使用摔無數次了都沒事,0
但電池快掛點準備去4a了,2
10很頓又很熱,1
上個月10螢幕摔破，其實還蠻喜歡10金屬機身的握感,0
→→→,2
某樓 請問現在安卓哪支比6s強？,2
zf6就有感重了,1
我11+換ZF7就很有感了,2
哈哈箭頭超可愛,2
10就末代金屬機身，耐用度妥妥的,0
10的手感真的棒 雖然我的死機了 呵,0
雙清不知道幾次了 不過現在當備用機就不要求太多了,2
ZF系列續航都很讚 而且全螢幕爽爽的 好看,0
奶油手幫QQ,2
看到10就想到不好的回憶,1
10換電池很麻煩...,1
10還沒壞   金屬質感不錯,0
刷完lineage當備用機還不錯啦,0
zf7犀牛盾 好用嗎 方便拆裝嗎,2
10換5Z  當初10飛出去被車輾,2
怎麼不用天璣,2
訂價一出之後 還是垃圾,1
看起來是desire家族？,2
這價格被中國廠殺死，不但賣你一半價格，幫忙賣還,2
有電源補貼,2
HTC現在就算推出萬元內的機種，還有人想買嗎 XD,1
